country,year,sex,age,suicides_no,population,suicidesPer100k,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Cuba,2006,female,35-54 years,98.00,1794025,5.46,Cuba2006,,"52,742,800,000",4951,Boomers
Cuba,2006,female,25-34 years,27.00,816467,3.31,Cuba2006,,"52,742,800,000",4951,Generation X
Cuba,2006,female,15-24 years,17.00,781124,2.18,Cuba2006,,"52,742,800,000",4951,Millenials
Cuba,2006,male,5-14 years,2.00,767105,0.26,Cuba2006,,"52,742,800,000",4951,Millenials
Cuba,2006,female,5-14 years,1.00,722349,0.14,Cuba2006,,"52,742,800,000",4951,Millenials
Cuba,2007,male,75+ years,186.00,241393,77.05,Cuba2007,,"58,603,900,000",5488,Silent
Cuba,2007,male,55-74 years,329.00,899694,36.57,Cuba2007,,"58,603,900,000",5488,Silent
Cuba,2007,male,35-54 years,370.00,1836069,20.15,Cuba2007,,"58,603,900,000",5488,Boomers
Cuba,2007,female,75+ years,49.00,310509,15.78,Cuba2007,,"58,603,900,000",5488,Silent
Cuba,2007,male,25-34 years,105.00,795644,13.20,Cuba2007,,"58,603,900,000",5488,Generation X
Cuba,2007,female,55-74 years,87.00,929079,9.36,Cuba2007,,"58,603,900,000",5488,Silent
Cuba,2007,male,15-24 years,49.00,821914,5.96,Cuba2007,,"58,603,900,000",5488,Millenials
Cuba,2007,female,35-54 years,93.00,1827402,5.09,Cuba2007,,"58,603,900,000",5488,Boomers
Cuba,2007,female,25-34 years,22.00,774006,2.84,Cuba2007,,"58,603,900,000",5488,Generation X
Cuba,2007,female,15-24 years,15.00,784753,1.91,Cuba2007,,"58,603,900,000",5488,Millenials
Cuba,2007,male,5-14 years,2.00,750899,0.27,Cuba2007,,"58,603,900,000",5488,Generation Z
Cuba,2007,female,5-14 years,0.00,706661,0.00,Cuba2007,,"58,603,900,000",5488,Generation Z
Cuba,2008,male,75+ years,199.00,248256,80.16,Cuba2008,,"60,806,300,000",5686,Silent
Cuba,2008,male,55-74 years,320.00,925603,34.57,Cuba2008,,"60,806,300,000",5686,Silent
Cuba,2008,male,35-54 years,407.00,1862869,21.85,Cuba2008,,"60,806,300,000",5686,Boomers
Cuba,2008,female,55-74 years,130.00,956092,13.60,Cuba2008,,"60,806,300,000",5686,Silent
Cuba,2008,male,25-34 years,89.00,756363,11.77,Cuba2008,,"60,806,300,000",5686,Generation X
Cuba,2008,female,75+ years,37.00,319741,11.57,Cuba2008,,"60,806,300,000",5686,Silent
Cuba,2008,male,15-24 years,51.00,824271,6.19,Cuba2008,,"60,806,300,000",5686,Millenials
Cuba,2008,female,35-54 years,99.00,1855207,5.34,Cuba2008,,"60,806,300,000",5686,Boomers
Cuba,2008,female,15-24 years,24.00,783884,3.06,Cuba2008,,"60,806,300,000",5686,Millenials
Cuba,2008,female,25-34 years,18.00,735356,2.45,Cuba2008,,"60,806,300,000",5686,Generation X
Cuba,2008,female,5-14 years,2.00,691240,0.29,Cuba2008,,"60,806,300,000",5686,Generation Z
Cuba,2008,male,5-14 years,1.00,734932,0.14,Cuba2008,,"60,806,300,000",5686,Generation Z
Cuba,2009,male,75+ years,210.00,255440,82.21,Cuba2009,,"62,080,000,000",5797,Silent
Cuba,2009,male,55-74 years,318.00,950445,33.46,Cuba2009,,"62,080,000,000",5797,Silent
Cuba,2009,male,35-54 years,428.00,1884290,22.71,Cuba2009,,"62,080,000,000",5797,Boomers
Cuba,2009,male,25-34 years,122.00,726718,16.79,Cuba2009,,"62,080,000,000",5797,Generation X
Cuba,2009,female,75+ years,44.00,329543,13.35,Cuba2009,,"62,080,000,000",5797,Silent
Cuba,2009,female,55-74 years,131.00,982121,13.34,Cuba2009,,"62,080,000,000",5797,Silent
Cuba,2009,male,15-24 years,62.00,822661,7.54,Cuba2009,,"62,080,000,000",5797,Millenials
Cuba,2009,female,35-54 years,123.00,1877452,6.55,Cuba2009,,"62,080,000,000",5797,Boomers
Cuba,2009,female,25-34 years,23.00,705886,3.26,Cuba2009,,"62,080,000,000",5797,Generation X
Cuba,2009,female,15-24 years,12.00,779355,1.54,Cuba2009,,"62,080,000,000",5797,Millenials
Cuba,2009,female,5-14 years,3.00,675592,0.44,Cuba2009,,"62,080,000,000",5797,Generation Z
Cuba,2009,male,5-14 years,1.00,718727,0.14,Cuba2009,,"62,080,000,000",5797,Generation Z
Cuba,2010,male,75+ years,206.00,263320,78.23,Cuba2010,0.778,"64,328,000,000",5997,Silent
Cuba,2010,male,55-74 years,374.00,972763,38.45,Cuba2010,0.778,"64,328,000,000",5997,Silent
Cuba,2010,male,35-54 years,476.00,1899890,25.05,Cuba2010,0.778,"64,328,000,000",5997,Generation X
Cuba,2010,male,25-34 years,102.00,710089,14.36,Cuba2010,0.778,"64,328,000,000",5997,Generation X
Cuba,2010,female,55-74 years,142.00,1005594,14.12,Cuba2010,0.778,"64,328,000,000",5997,Silent
Cuba,2010,female,75+ years,40.00,340480,11.75,Cuba2010,0.778,"64,328,000,000",5997,Silent
Cuba,2010,male,15-24 years,67.00,817305,8.20,Cuba2010,0.778,"64,328,000,000",5997,Millenials
Cuba,2010,female,35-54 years,105.00,1893737,5.54,Cuba2010,0.778,"64,328,000,000",5997,Generation X
Cuba,2010,female,25-34 years,17.00,688810,2.47,Cuba2010,0.778,"64,328,000,000",5997,Generation X
Cuba,2010,female,15-24 years,18.00,771457,2.33,Cuba2010,0.778,"64,328,000,000",5997,Millenials
Cuba,2010,female,5-14 years,7.00,660046,1.06,Cuba2010,0.778,"64,328,000,000",5997,Generation Z
Cuba,2010,male,5-14 years,4.00,702357,0.57,Cuba2010,0.778,"64,328,000,000",5997,Generation Z
Cuba,2011,male,75+ years,236.00,273331,86.34,Cuba2011,0.776,"68,990,000,000",6419,Silent
Cuba,2011,male,55-74 years,345.00,987980,34.92,Cuba2011,0.776,"68,990,000,000",6419,Boomers
Cuba,2011,male,35-54 years,441.00,1909690,23.09,Cuba2011,0.776,"68,990,000,000",6419,Generation X
Cuba,2011,male,25-34 years,113.00,707701,15.97,Cuba2011,0.776,"68,990,000,000",6419,Millenials
Cuba,2011,female,75+ years,50.00,352169,14.20,Cuba2011,0.776,"68,990,000,000",6419,Silent
Cuba,2011,female,55-74 years,123.00,1022839,12.03,Cuba2011,0.776,"68,990,000,000",6419,Boomers
Cuba,2011,male,15-24 years,75.00,808772,9.27,Cuba2011,0.776,"68,990,000,000",6419,Millenials
Cuba,2011,female,35-54 years,106.00,1903248,5.57,Cuba2011,0.776,"68,990,000,000",6419,Generation X
Cuba,2011,female,25-34 years,20.00,686162,2.91,Cuba2011,0.776,"68,990,000,000",6419,Millenials
Cuba,2011,female,15-24 years,13.00,761258,1.71,Cuba2011,0.776,"68,990,000,000",6419,Millenials
Cuba,2011,male,5-14 years,4.00,687609,0.58,Cuba2011,0.776,"68,990,000,000",6419,Generation Z
Cuba,2011,female,5-14 years,3.00,647275,0.46,Cuba2011,0.776,"68,990,000,000",6419,Generation Z
Cuba,2012,male,75+ years,245.00,283396,86.45,Cuba2012,0.772,"73,141,000,000",6791,Silent
Cuba,2012,male,55-74 years,357.00,1000596,35.68,Cuba2012,0.772,"73,141,000,000",6791,Boomers
Cuba,2012,male,35-54 years,412.00,1913864,21.53,Cuba2012,0.772,"73,141,000,000",6791,Generation X
Cuba,2012,male,25-34 years,108.00,718645,15.03,Cuba2012,0.772,"73,141,000,000",6791,Millenials
Cuba,2012,female,75+ years,52.00,364108,14.28,Cuba2012,0.772,"73,141,000,000",6791,Silent
Cuba,2012,female,55-74 years,107.00,1037368,10.31,Cuba2012,0.772,"73,141,000,000",6791,Boomers
Cuba,2012,male,15-24 years,71.00,795384,8.93,Cuba2012,0.772,"73,141,000,000",6791,Millenials
Cuba,2012,female,35-54 years,94.00,1906959,4.93,Cuba2012,0.772,"73,141,000,000",6791,Generation X
Cuba,2012,female,15-24 years,25.00,746677,3.35,Cuba2012,0.772,"73,141,000,000",6791,Millenials
Cuba,2012,female,25-34 years,16.00,696377,2.30,Cuba2012,0.772,"73,141,000,000",6791,Millenials
Cuba,2012,male,5-14 years,6.00,672968,0.89,Cuba2012,0.772,"73,141,000,000",6791,Generation Z
Cuba,2012,female,5-14 years,2.00,634193,0.32,Cuba2012,0.772,"73,141,000,000",6791,Generation Z
Cuba,2013,male,75+ years,216.00,293384,73.62,Cuba2013,0.768,"77,148,000,000",7148,Silent
Cuba,2013,male,55-74 years,401.00,1014211,39.54,Cuba2013,0.768,"77,148,000,000",7148,Boomers
Cuba,2013,male,35-54 years,436.00,1911139,22.81,Cuba2013,0.768,"77,148,000,000",7148,Generation X
Cuba,2013,female,75+ years,49.00,376280,13.02,Cuba2013,0.768,"77,148,000,000",7148,Silent
Cuba,2013,male,25-34 years,96.00,738010,13.01,Cuba2013,0.768,"77,148,000,000",7148,Millenials
Cuba,2013,female,55-74 years,111.00,1052791,10.54,Cuba2013,0.768,"77,148,000,000",7148,Boomers
Cuba,2013,male,15-24 years,47.00,778739,6.04,Cuba2013,0.768,"77,148,000,000",7148,Millenials
Cuba,2013,female,35-54 years,94.00,1903641,4.94,Cuba2013,0.768,"77,148,000,000",7148,Generation X
Cuba,2013,female,25-34 years,20.00,714544,2.80,Cuba2013,0.768,"77,148,000,000",7148,Millenials
Cuba,2013,female,15-24 years,20.00,729372,2.74,Cuba2013,0.768,"77,148,000,000",7148,Millenials
Cuba,2013,male,5-14 years,5.00,659106,0.76,Cuba2013,0.768,"77,148,000,000",7148,Generation Z
Cuba,2013,female,5-14 years,4.00,621473,0.64,Cuba2013,0.768,"77,148,000,000",7148,Generation Z
Cuba,2014,male,75+ years,221.00,303110,72.91,Cuba2014,0.769,"80,656,100,000",7459,Silent
Cuba,2014,male,55-74 years,348.00,1034381,33.64,Cuba2014,0.769,"80,656,100,000",7459,Boomers
Cuba,2014,male,35-54 years,409.00,1899900,21.53,Cuba2014,0.769,"80,656,100,000",7459,Generation X
Cuba,2014,female,75+ years,51.00,388520,13.13,Cuba2014,0.769,"80,656,100,000",7459,Silent
Cuba,2014,male,25-34 years,97.00,758006,12.80,Cuba2014,0.769,"80,656,100,000",7459,Millenials
Cuba,2014,female,55-74 years,116.00,1074729,10.79,Cuba2014,0.769,"80,656,100,000",7459,Boomers
Cuba,2014,male,15-24 years,62.00,761440,8.14,Cuba2014,0.769,"80,656,100,000",7459,Millenials
Cuba,2014,female,35-54 years,107.00,1891607,5.66,Cuba2014,0.769,"80,656,100,000",7459,Generation X
Cuba,2014,female,15-24 years,19.00,711945,2.67,Cuba2014,0.769,"80,656,100,000",7459,Millenials
Cuba,2014,female,25-34 years,12.00,732841,1.64,Cuba2014,0.769,"80,656,100,000",7459,Millenials
Cuba,2014,male,5-14 years,9.00,646878,1.39,Cuba2014,0.769,"80,656,100,000",7459,Generation Z
Cuba,2014,female,5-14 years,2.00,610054,0.33,Cuba2014,0.769,"80,656,100,000",7459,Generation Z
Cuba,2015,male,75+ years,257.00,312547,82.23,Cuba2015,,"87,132,800,000",8044,Silent
Cuba,2015,male,55-74 years,394.00,1064263,37.02,Cuba2015,,"87,132,800,000",8044,Boomers
Cuba,2015,male,35-54 years,418.00,1879569,22.24,Cuba2015,,"87,132,800,000",8044,Generation X
Cuba,2015,female,75+ years,56.00,400826,13.97,Cuba2015,,"87,132,800,000",8044,Silent
Cuba,2015,male,25-34 years,82.00,773518,10.60,Cuba2015,,"87,132,800,000",8044,Millenials
Cuba,2015,female,55-74 years,104.00,1106391,9.40,Cuba2015,,"87,132,800,000",8044,Boomers
Cuba,2015,male,15-24 years,56.00,745157,7.52,Cuba2015,,"87,132,800,000",8044,Millenials
Cuba,2015,female,35-54 years,102.00,1870168,5.45,Cuba2015,,"87,132,800,000",8044,Generation X
Cuba,2015,female,25-34 years,21.00,746139,2.81,Cuba2015,,"87,132,800,000",8044,Millenials
Cuba,2015,female,15-24 years,17.00,696005,2.44,Cuba2015,,"87,132,800,000",8044,Millenials
Cuba,2015,male,5-14 years,4.00,636828,0.63,Cuba2015,,"87,132,800,000",8044,Generation Z
Cuba,2015,female,5-14 years,0.00,600657,0.00,Cuba2015,,"87,132,800,000",8044,Generation Z
Cyprus,1999,male,55-74 years,1.00,63504,1.57,Cyprus1999,,"10,614,455,232",12389,Silent
Cyprus,1999,female,15-24 years,0.00,73855,0.00,Cyprus1999,,"10,614,455,232",12389,Generation X
Cyprus,1999,female,25-34 years,0.00,70201,0.00,Cyprus1999,,"10,614,455,232",12389,Generation X
Cyprus,1999,female,35-54 years,0.00,119889,0.00,Cyprus1999,,"10,614,455,232",12389,Boomers
Cyprus,1999,female,5-14 years,0.00,69281,0.00,Cyprus1999,,"10,614,455,232",12389,Millenials
Cyprus,1999,female,55-74 years,0.00,69881,0.00,Cyprus1999,,"10,614,455,232",12389,Silent
Cyprus,1999,female,75+ years,0.00,22730,0.00,Cyprus1999,,"10,614,455,232",12389,G.I. Generation
Cyprus,1999,male,15-24 years,0.00,81348,0.00,Cyprus1999,,"10,614,455,232",12389,Generation X
Cyprus,1999,male,25-34 years,0.00,72963,0.00,Cyprus1999,,"10,614,455,232",12389,Generation X
Cyprus,1999,male,35-54 years,0.00,122486,0.00,Cyprus1999,,"10,614,455,232",12389,Boomers
Cyprus,1999,male,5-14 years,0.00,73496,0.00,Cyprus1999,,"10,614,455,232",12389,Millenials
Cyprus,1999,male,75+ years,0.00,17099,0.00,Cyprus1999,,"10,614,455,232",12389,G.I. Generation
Cyprus,2000,male,25-34 years,5.00,73992,6.76,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
Cyprus,2000,male,35-54 years,2.00,125288,1.60,Cyprus2000,0.8,"10,183,317,625",11635,Boomers
Cyprus,2000,female,15-24 years,0.00,75880,0.00,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
Cyprus,2000,female,25-34 years,0.00,71455,0.00,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
Cyprus,2000,female,35-54 years,0.00,122632,0.00,Cyprus2000,0.8,"10,183,317,625",11635,Boomers
Cyprus,2000,female,5-14 years,0.00,69500,0.00,Cyprus2000,0.8,"10,183,317,625",11635,Millenials
Cyprus,2000,female,55-74 years,0.00,72098,0.00,Cyprus2000,0.8,"10,183,317,625",11635,Silent
Cyprus,2000,female,75+ years,0.00,23228,0.00,Cyprus2000,0.8,"10,183,317,625",11635,G.I. Generation
Cyprus,2000,male,15-24 years,0.00,84119,0.00,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
Cyprus,2000,male,5-14 years,0.00,73737,0.00,Cyprus2000,0.8,"10,183,317,625",11635,Millenials
Cyprus,2000,male,55-74 years,0.00,66009,0.00,Cyprus2000,0.8,"10,183,317,625",11635,Silent
Cyprus,2000,male,75+ years,0.00,17291,0.00,Cyprus2000,0.8,"10,183,317,625",11635,G.I. Generation
Cyprus,2004,male,55-74 years,2.00,60428,3.31,Cyprus2004,,"17,422,375,000",25227,Silent
Cyprus,2004,male,35-54 years,3.00,98485,3.05,Cyprus2004,,"17,422,375,000",25227,Boomers
Cyprus,2004,female,25-34 years,1.00,54147,1.85,Cyprus2004,,"17,422,375,000",25227,Generation X
Cyprus,2004,female,35-54 years,1.00,104038,0.96,Cyprus2004,,"17,422,375,000",25227,Boomers
Cyprus,2004,female,15-24 years,0.00,56410,0.00,Cyprus2004,,"17,422,375,000",25227,Millenials
Cyprus,2004,female,5-14 years,0.00,50624,0.00,Cyprus2004,,"17,422,375,000",25227,Millenials
Cyprus,2004,female,55-74 years,0.00,65412,0.00,Cyprus2004,,"17,422,375,000",25227,Silent
Cyprus,2004,female,75+ years,0.00,22299,0.00,Cyprus2004,,"17,422,375,000",25227,Silent
Cyprus,2004,male,15-24 years,0.00,59250,0.00,Cyprus2004,,"17,422,375,000",25227,Millenials
Cyprus,2004,male,25-34 years,0.00,49934,0.00,Cyprus2004,,"17,422,375,000",25227,Generation X
Cyprus,2004,male,5-14 years,0.00,53202,0.00,Cyprus2004,,"17,422,375,000",25227,Millenials
Cyprus,2004,male,75+ years,0.00,16387,0.00,Cyprus2004,,"17,422,375,000",25227,Silent
Cyprus,2005,male,55-74 years,4.00,62661,6.38,Cyprus2005,0.83,"18,703,146,375",26671,Silent
Cyprus,2005,female,55-74 years,3.00,67452,4.45,Cyprus2005,0.83,"18,703,146,375",26671,Silent
Cyprus,2005,male,35-54 years,4.00,99191,4.03,Cyprus2005,0.83,"18,703,146,375",26671,Boomers
Cyprus,2005,male,25-34 years,2.00,51837,3.86,Cyprus2005,0.83,"18,703,146,375",26671,Generation X
Cyprus,2005,male,15-24 years,2.00,60126,3.33,Cyprus2005,0.83,"18,703,146,375",26671,Millenials
Cyprus,2005,female,15-24 years,1.00,57341,1.74,Cyprus2005,0.83,"18,703,146,375",26671,Millenials
Cyprus,2005,female,35-54 years,1.00,105435,0.95,Cyprus2005,0.83,"18,703,146,375",26671,Boomers
Cyprus,2005,female,25-34 years,0.00,55734,0.00,Cyprus2005,0.83,"18,703,146,375",26671,Generation X
Cyprus,2005,female,5-14 years,0.00,49682,0.00,Cyprus2005,0.83,"18,703,146,375",26671,Millenials
Cyprus,2005,female,75+ years,0.00,22842,0.00,Cyprus2005,0.83,"18,703,146,375",26671,Silent
Cyprus,2005,male,5-14 years,0.00,52329,0.00,Cyprus2005,0.83,"18,703,146,375",26671,Millenials
Cyprus,2005,male,75+ years,0.00,16633,0.00,Cyprus2005,0.83,"18,703,146,375",26671,Silent
Cyprus,2006,male,55-74 years,5.00,64866,7.71,Cyprus2006,,"20,403,713,461",28600,Silent
Cyprus,2006,male,25-34 years,4.00,53856,7.43,Cyprus2006,,"20,403,713,461",28600,Generation X
Cyprus,2006,female,55-74 years,3.00,69357,4.33,Cyprus2006,,"20,403,713,461",28600,Silent
Cyprus,2006,female,35-54 years,3.00,107098,2.80,Cyprus2006,,"20,403,713,461",28600,Boomers
Cyprus,2006,male,35-54 years,2.00,100123,2.00,Cyprus2006,,"20,403,713,461",28600,Boomers
Cyprus,2006,female,25-34 years,1.00,57514,1.74,Cyprus2006,,"20,403,713,461",28600,Generation X
Cyprus,2006,male,15-24 years,1.00,61353,1.63,Cyprus2006,,"20,403,713,461",28600,Millenials
Cyprus,2006,female,15-24 years,0.00,58243,0.00,Cyprus2006,,"20,403,713,461",28600,Millenials
Cyprus,2006,female,5-14 years,0.00,48947,0.00,Cyprus2006,,"20,403,713,461",28600,Millenials
Cyprus,2006,female,75+ years,0.00,23595,0.00,Cyprus2006,,"20,403,713,461",28600,Silent
Cyprus,2006,male,5-14 years,0.00,51269,0.00,Cyprus2006,,"20,403,713,461",28600,Millenials
Cyprus,2006,male,75+ years,0.00,17205,0.00,Cyprus2006,,"20,403,713,461",28600,Silent
Cyprus,2007,male,75+ years,2.00,17897,11.18,Cyprus2007,,"24,077,470,572",33048,Silent
Cyprus,2007,male,25-34 years,4.00,55768,7.17,Cyprus2007,,"24,077,470,572",33048,Generation X
Cyprus,2007,male,15-24 years,3.00,63227,4.74,Cyprus2007,,"24,077,470,572",33048,Millenials
Cyprus,2007,male,55-74 years,3.00,67267,4.46,Cyprus2007,,"24,077,470,572",33048,Silent
Cyprus,2007,female,25-34 years,2.00,59428,3.37,Cyprus2007,,"24,077,470,572",33048,Generation X
Cyprus,2007,male,35-54 years,3.00,101951,2.94,Cyprus2007,,"24,077,470,572",33048,Boomers
Cyprus,2007,female,55-74 years,1.00,71415,1.40,Cyprus2007,,"24,077,470,572",33048,Silent
Cyprus,2007,female,35-54 years,1.00,109618,0.91,Cyprus2007,,"24,077,470,572",33048,Boomers
Cyprus,2007,female,15-24 years,0.00,60276,0.00,Cyprus2007,,"24,077,470,572",33048,Millenials
Cyprus,2007,female,5-14 years,0.00,47379,0.00,Cyprus2007,,"24,077,470,572",33048,Generation Z
Cyprus,2007,female,75+ years,0.00,24362,0.00,Cyprus2007,,"24,077,470,572",33048,Silent
Cyprus,2007,male,5-14 years,0.00,49978,0.00,Cyprus2007,,"24,077,470,572",33048,Generation Z
Cyprus,2008,male,35-54 years,16.00,104052,15.38,Cyprus2008,,"27,839,460,964",37267,Boomers
Cyprus,2008,male,25-34 years,7.00,58499,11.97,Cyprus2008,,"27,839,460,964",37267,Generation X
Cyprus,2008,male,75+ years,2.00,18436,10.85,Cyprus2008,,"27,839,460,964",37267,Silent
Cyprus,2008,female,25-34 years,3.00,62348,4.81,Cyprus2008,,"27,839,460,964",37267,Generation X
Cyprus,2008,male,15-24 years,3.00,64765,4.63,Cyprus2008,,"27,839,460,964",37267,Millenials
Cyprus,2008,female,35-54 years,5.00,112837,4.43,Cyprus2008,,"27,839,460,964",37267,Boomers
Cyprus,2008,male,55-74 years,3.00,69949,4.29,Cyprus2008,,"27,839,460,964",37267,Silent
Cyprus,2008,female,55-74 years,2.00,73788,2.71,Cyprus2008,,"27,839,460,964",37267,Silent
Cyprus,2008,female,15-24 years,0.00,61894,0.00,Cyprus2008,,"27,839,460,964",37267,Millenials
Cyprus,2008,female,5-14 years,0.00,46407,0.00,Cyprus2008,,"27,839,460,964",37267,Generation Z
Cyprus,2008,female,75+ years,0.00,25015,0.00,Cyprus2008,,"27,839,460,964",37267,Silent
Cyprus,2008,male,5-14 years,0.00,49044,0.00,Cyprus2008,,"27,839,460,964",37267,Generation Z
Cyprus,2009,male,75+ years,3.00,19014,15.78,Cyprus2009,,"25,942,622,951",33816,Silent
Cyprus,2009,male,25-34 years,6.00,61663,9.73,Cyprus2009,,"25,942,622,951",33816,Generation X
Cyprus,2009,male,15-24 years,5.00,66107,7.56,Cyprus2009,,"25,942,622,951",33816,Millenials
Cyprus,2009,male,35-54 years,7.00,105858,6.61,Cyprus2009,,"25,942,622,951",33816,Boomers
Cyprus,2009,male,55-74 years,4.00,72713,5.50,Cyprus2009,,"25,942,622,951",33816,Silent
Cyprus,2009,female,75+ years,1.00,25758,3.88,Cyprus2009,,"25,942,622,951",33816,Silent
Cyprus,2009,female,35-54 years,4.00,116224,3.44,Cyprus2009,,"25,942,622,951",33816,Boomers
Cyprus,2009,female,25-34 years,2.00,66001,3.03,Cyprus2009,,"25,942,622,951",33816,Generation X
Cyprus,2009,female,15-24 years,0.00,63385,0.00,Cyprus2009,,"25,942,622,951",33816,Millenials
Cyprus,2009,female,5-14 years,0.00,45750,0.00,Cyprus2009,,"25,942,622,951",33816,Generation Z
Cyprus,2009,female,55-74 years,0.00,76382,0.00,Cyprus2009,,"25,942,622,951",33816,Silent
Cyprus,2009,male,5-14 years,0.00,48319,0.00,Cyprus2009,,"25,942,622,951",33816,Generation Z
Cyprus,2010,male,75+ years,3.00,19667,15.25,Cyprus2010,0.848,"25,562,251,656",32477,Silent
Cyprus,2010,male,25-34 years,7.00,65092,10.75,Cyprus2010,0.848,"25,562,251,656",32477,Generation X
Cyprus,2010,male,55-74 years,7.00,75567,9.26,Cyprus2010,0.848,"25,562,251,656",32477,Silent
Cyprus,2010,male,35-54 years,9.00,107241,8.39,Cyprus2010,0.848,"25,562,251,656",32477,Generation X
Cyprus,2010,male,15-24 years,4.00,67097,5.96,Cyprus2010,0.848,"25,562,251,656",32477,Millenials
Cyprus,2010,female,15-24 years,3.00,64577,4.65,Cyprus2010,0.848,"25,562,251,656",32477,Millenials
Cyprus,2010,female,35-54 years,4.00,119200,3.36,Cyprus2010,0.848,"25,562,251,656",32477,Generation X
Cyprus,2010,female,55-74 years,1.00,79168,1.26,Cyprus2010,0.848,"25,562,251,656",32477,Silent
Cyprus,2010,female,25-34 years,0.00,69866,0.00,Cyprus2010,0.848,"25,562,251,656",32477,Generation X
Cyprus,2010,female,5-14 years,0.00,45354,0.00,Cyprus2010,0.848,"25,562,251,656",32477,Generation Z
Cyprus,2010,female,75+ years,0.00,26570,0.00,Cyprus2010,0.848,"25,562,251,656",32477,Silent
Cyprus,2010,male,5-14 years,0.00,47682,0.00,Cyprus2010,0.848,"25,562,251,656",32477,Generation Z
Cyprus,2011,male,35-54 years,12.00,108755,11.03,Cyprus2011,0.852,"27,427,161,523",34249,Generation X
Cyprus,2011,male,55-74 years,8.00,77047,10.38,Cyprus2011,0.852,"27,427,161,523",34249,Boomers
Cyprus,2011,male,75+ years,2.00,19308,10.36,Cyprus2011,0.852,"27,427,161,523",34249,Silent
Cyprus,2011,male,15-24 years,3.00,67311,4.46,Cyprus2011,0.852,"27,427,161,523",34249,Millenials
Cyprus,2011,female,75+ years,1.00,25937,3.86,Cyprus2011,0.852,"27,427,161,523",34249,Silent
Cyprus,2011,female,35-54 years,3.00,122543,2.45,Cyprus2011,0.852,"27,427,161,523",34249,Generation X
Cyprus,2011,female,55-74 years,1.00,80672,1.24,Cyprus2011,0.852,"27,427,161,523",34249,Boomers
Cyprus,2011,female,15-24 years,0.00,64690,0.00,Cyprus2011,0.852,"27,427,161,523",34249,Millenials
Cyprus,2011,female,25-34 years,0.00,73838,0.00,Cyprus2011,0.852,"27,427,161,523",34249,Millenials
Cyprus,2011,female,5-14 years,0.00,44757,0.00,Cyprus2011,0.852,"27,427,161,523",34249,Generation Z
Cyprus,2011,male,25-34 years,0.00,68773,0.00,Cyprus2011,0.852,"27,427,161,523",34249,Millenials
Cyprus,2011,male,5-14 years,0.00,47189,0.00,Cyprus2011,0.852,"27,427,161,523",34249,Generation Z
Cyprus,2012,male,25-34 years,9.00,70596,12.75,Cyprus2012,0.852,"25,041,372,222",30752,Millenials
Cyprus,2012,male,35-54 years,14.00,110616,12.66,Cyprus2012,0.852,"25,041,372,222",30752,Generation X
Cyprus,2012,male,15-24 years,6.00,66014,9.09,Cyprus2012,0.852,"25,041,372,222",30752,Millenials
Cyprus,2012,male,55-74 years,5.00,79804,6.27,Cyprus2012,0.852,"25,041,372,222",30752,Boomers
Cyprus,2012,female,25-34 years,1.00,75365,1.33,Cyprus2012,0.852,"25,041,372,222",30752,Millenials
Cyprus,2012,female,35-54 years,1.00,125423,0.80,Cyprus2012,0.852,"25,041,372,222",30752,Generation X
Cyprus,2012,female,15-24 years,0.00,63355,0.00,Cyprus2012,0.852,"25,041,372,222",30752,Millenials
Cyprus,2012,female,5-14 years,0.00,44613,0.00,Cyprus2012,0.852,"25,041,372,222",30752,Generation Z
Cyprus,2012,female,55-74 years,0.00,83946,0.00,Cyprus2012,0.852,"25,041,372,222",30752,Boomers
Cyprus,2012,female,75+ years,0.00,27031,0.00,Cyprus2012,0.852,"25,041,372,222",30752,Silent
Cyprus,2012,male,5-14 years,0.00,47222,0.00,Cyprus2012,0.852,"25,041,372,222",30752,Generation Z
Cyprus,2012,male,75+ years,0.00,20320,0.00,Cyprus2012,0.852,"25,041,372,222",30752,Silent
Cyprus,2013,male,75+ years,3.00,21349,14.05,Cyprus2013,0.85,"24,084,572,491",29624,Silent
Cyprus,2013,male,15-24 years,8.00,62893,12.72,Cyprus2013,0.85,"24,084,572,491",29624,Millenials
Cyprus,2013,male,55-74 years,10.00,81903,12.21,Cyprus2013,0.85,"24,084,572,491",29624,Boomers
Cyprus,2013,male,25-34 years,8.00,70521,11.34,Cyprus2013,0.85,"24,084,572,491",29624,Millenials
Cyprus,2013,male,35-54 years,11.00,110593,9.95,Cyprus2013,0.85,"24,084,572,491",29624,Generation X
Cyprus,2013,female,35-54 years,4.00,125846,3.18,Cyprus2013,0.85,"24,084,572,491",29624,Generation X
Cyprus,2013,female,55-74 years,1.00,86452,1.16,Cyprus2013,0.85,"24,084,572,491",29624,Boomers
Cyprus,2013,female,15-24 years,0.00,59969,0.00,Cyprus2013,0.85,"24,084,572,491",29624,Millenials
Cyprus,2013,female,25-34 years,0.00,73849,0.00,Cyprus2013,0.85,"24,084,572,491",29624,Millenials
Cyprus,2013,female,5-14 years,0.00,44407,0.00,Cyprus2013,0.85,"24,084,572,491",29624,Generation Z
